NO,STRESS,EFFICACY,DiasasterReadiness,PerReadiness,SelfProtection,EmergencyResponse,ClinicalManage,ProblemCope,EmotionCope,DisCope,ComSatisfaction,ComFatigue,BURNOUT,SECONDTRAMA
453,19,30,160,64,44,24,28,18,26,30,39,70,30,40
454,12,29,146,64,36,19,27,24,33,24,46,31,14,17
455,16,30,70,25,12,9,24,24,33,24,30,59,29,30
456,18,30,160,64,44,24,28,18,28,36,40,46,24,22
457,28,20,80,32,22,12,14,12,20,24,20,49,29,20
458,17,35,145,58,35,19,33,22,30,23,40,61,33,28
459,25,30,101,45,19,10,27,19,29,31,23,56,27,29
460,30,26,148,64,37,21,26,21,31,31,42,57,29,28
461,8,20,200,80,55,30,35,12,20,24,49,50,22,28
462,22,26,148,58,41,20,29,18,27,22,22,52,31,21
463,24,19,120,48,33,18,21,19,25,28,30,60,30,30
464,23,20,106,44,24,15,23,18,26,25,27,49,26,23
465,17,30,156,60,44,24,28,18,30,36,40,70,30,40
466,22,30,105,46,23,14,22,19,26,26,29,60,31,29
467,33,30,140,53,34,24,29,16,23,27,34,63,32,31
468,25,20,99,36,23,19,21,18,27,32,30,60,30,30
469,28,17,106,42,27,15,22,17,29,27,31,57,27,30
470,19,20,120,48,33,18,21,18,25,24,23,51,27,24
471,10,25,130,63,18,18,31,19,26,28,36,43,25,18
472,25,31,139,56,33,20,30,18,25,27,33,57,27,30
473,26,20,95,42,23,13,17,15,21,22,28,49,29,20
474,15,27,126,47,34,18,27,24,32,27,47,34,15,19
475,30,30,89,34,23,10,22,19,20,40,21,86,42,44
476,33,15,110,46,26,17,21,20,28,32,25,59,33,26
