NO,STRESS,EFFICACY,DiasasterReadiness,PerReadiness,SelfProtection,EmergencyResponse,ClinicalManage,ProblemCope,EmotionCope,DisCope,ComSatisfaction,ComFatigue,BURNOUT,SECONDTRAMA
104,24,26,166,63,45,25,33,21,28,24,37,49,24,25
105,28,20,80,32,22,12,14,12,20,24,20,50,30,20
106,28,20,116,48,33,15,20,12,20,24,30,60,30,30
107,21,20,124,53,33,16,22,18,24,23,39,39,18,21
108,26,27,105,47,25,12,21,18,28,24,37,54,24,30
109,28,34,121,48,33,19,21,6,10,12,30,60,30,30
110,28,28,150,58,40,24,28,16,25,29,33,60,30,30
111,26,20,78,30,15,14,19,13,20,24,24,64,37,27
112,22,29,111,46,24,17,24,19,26,21,33,47,28,19
113,24,30,165,70,40,23,32,20,30,29,39,51,23,28
114,28,30,120,48,33,18,21,18,30,36,30,60,30,30
115,16,22,176,69,47,25,35,19,31,22,49,44,19,25
116,24,30,122,48,33,18,23,18,23,20,26,57,29,28
117,25,28,106,58,14,7,27,22,34,30,37,42,21,21
118,13,36,169,65,43,28,33,24,33,24,38,52,26,26
119,14,30,153,62,40,24,27,22,29,27,39,34,19,15
120,25,24,139,62,32,19,26,20,24,22,40,58,26,32
121,27,30,120,48,33,18,21,21,32,28,30,60,30,30
122,20,29,141,48,42,23,28,20,29,29,33,48,22,26
123,28,20,80,32,22,12,14,12,20,24,20,50,30,20
124,27,21,61,16,16,10,19,14,20,21,18,59,39,20
125,25,30,141,56,34,20,31,20,29,24,40,46,22,24
126,28,20,120,48,33,18,21,12,20,24,31,60,29,31
127,29,30,131,48,35,19,29,18,30,34,38,54,25,29
128,28,30,120,48,33,18,21,18,30,36,30,60,30,30
129,21,25,128,54,30,16,28,24,33,24,30,42,23,19
130,28,20,120,48,33,18,21,18,30,36,30,60,30,30
131,32,26,149,64,39,18,28,18,25,20,24,50,31,19
132,19,30,154,64,37,21,32,20,28,25,32,39,25,14
133,30,24,123,51,30,13,29,21,27,30,30,52,28,24
134,23,29,114,44,29,16,25,21,30,30,28,53,29,24
135,28,28,145,64,34,19,28,18,27,26,32,50,25,25
136,13,28,159,66,43,21,29,21,29,21,40,44,24,20
137,28,20,120,48,33,18,21,12,20,24,30,60,30,30
138,33,28,120,48,33,18,21,18,30,36,31,60,30,30
139,28,26,120,48,33,18,21,18,30,36,30,60,30,30
140,27,24,120,48,33,18,21,18,29,30,30,63,33,30
141,28,20,115,48,30,18,19,18,30,36,30,60,30,30
142,16,39,200,80,55,30,35,24,40,48,50,71,27,44
143,19,24,160,64,44,24,28,20,27,25,33,52,27,25
144,27,30,135,62,29,21,23,18,29,29,39,56,26,30
145,11,28,156,64,41,24,27,21,31,21,35,39,21,18
146,13,30,137,52,37,20,28,23,31,22,40,35,20,15
147,35,20,97,38,25,17,17,16,26,38,26,64,35,29
148,14,35,147,61,34,20,32,20,30,24,46,40,18,22
149,20,27,100,46,15,13,26,18,30,25,40,47,20,27
150,17,28,92,33,24,11,24,19,24,29,31,51,30,21
151,37,17,141,49,43,21,28,19,26,29,28,70,36,34
152,31,20,123,53,27,19,24,23,30,26,37,55,28,27
153,23,27,138,56,36,22,24,18,27,23,34,51,25,26
154,29,21,92,32,22,17,21,17,30,28,23,47,26,21
155,28,20,120,48,33,18,21,12,20,24,30,60,30,30
156,27,26,111,56,16,12,27,22,33,29,30,62,33,29
157,29,30,155,64,42,18,31,18,32,32,40,48,23,25
158,29,20,104,39,23,15,27,18,22,25,33,57,31,26
159,31,24,134,50,38,17,29,20,32,28,34,62,30,32
160,17,29,153,65,31,23,34,24,37,29,48,45,21,24
161,33,26,161,57,47,25,32,20,29,27,40,47,24,23
162,20,29,111,55,24,12,20,19,30,31,34,37,23,14
163,23,21,114,48,27,17,22,18,28,28,29,57,30,27
164,17,30,160,64,44,24,28,18,30,24,40,45,20,25
165,28,21,135,50,35,18,32,17,24,28,27,56,31,25
166,28,30,120,48,33,18,21,18,30,36,31,60,32,28
167,26,30,120,48,33,17,22,18,30,36,30,60,30,30
168,16,30,87,34,18,10,25,18,26,34,28,53,28,25
169,33,21,116,39,30,17,30,15,21,27,25,54,36,18
170,29,18,120,44,30,18,28,12,21,23,31,60,30,30
171,31,20,126,48,34,19,25,16,27,32,28,55,29,26
172,29,28,118,48,28,13,29,18,27,29,40,35,19,16
173,28,20,80,32,22,12,14,18,30,36,30,60,30,30
174,16,24,140,61,33,19,27,18,24,23,39,38,21,17
175,20,20,140,64,33,18,25,19,28,26,38,46,21,25
176,20,27,109,40,28,13,28,20,24,28,28,56,33,23
177,24,22,127,48,35,19,25,21,27,30,39,44,16,28
178,15,29,98,39,22,15,22,18,25,27,31,51,28,23
179,28,30,165,78,35,20,32,18,30,36,30,60,30,30
180,28,20,102,36,27,13,26,18,22,21,29,46,27,19
181,12,29,163,65,46,21,31,23,24,18,39,39,20,19
182,29,22,117,50,24,14,29,19,22,29,27,52,29,23
183,14,30,152,68,34,18,32,24,33,29,31,48,24,24
184,23,27,126,48,31,19,28,19,24,27,37,51,23,28
185,28,24,84,34,17,9,24,19,31,30,39,48,25,23
186,18,30,121,46,29,22,24,18,23,26,31,57,28,29
187,11,40,159,80,29,15,35,22,35,22,38,52,27,25
188,27,30,200,80,55,30,35,18,33,38,42,58,26,32
189,24,22,120,48,30,17,25,21,28,33,31,51,26,25
190,28,30,112,48,25,13,26,19,26,31,28,52,27,25
191,30,20,114,48,29,16,21,18,23,26,27,49,28,21
192,17,30,146,61,36,23,26,18,26,23,38,63,27,36
193,26,27,142,65,35,13,29,20,30,25,39,49,26,23
194,4,38,199,80,55,30,34,21,29,21,50,34,11,23
195,18,30,175,80,46,18,31,21,28,29,34,47,25,22
196,20,25,148,59,38,23,28,20,31,28,34,45,23,22
197,28,29,119,53,22,14,30,18,23,21,37,40,20,20
198,28,40,120,48,33,18,21,17,24,25,30,60,30,30
199,23,21,90,39,21,13,17,17,21,25,30,48,26,22
200,33,30,146,62,32,20,32,23,28,30,28,49,31,18
201,10,37,156,69,36,19,32,24,29,23,35,38,23,15
202,30,25,148,59,42,21,26,19,24,32,32,55,28,27
203,52,19,115,49,28,13,25,19,21,28,41,58,30,28
204,20,26,128,52,29,17,30,18,24,21,31,36,24,12
205,26,20,142,55,34,22,31,22,29,29,33,52,27,25
206,20,20,106,48,24,12,22,18,30,36,27,58,30,28
207,29,20,101,51,18,10,22,14,21,24,29,65,35,30
208,28,25,122,64,24,14,20,18,34,26,33,63,28,35
209,4,40,194,80,52,27,35,24,31,21,47,27,13,14
210,26,20,91,36,23,12,20,13,19,24,21,59,33,26
211,23,30,125,49,35,18,23,21,30,34,34,50,26,24
212,24,25,132,57,31,20,24,21,31,25,30,56,27,29
213,22,21,51,16,11,8,16,18,26,35,21,63,37,26
214,20,29,167,80,39,19,29,24,34,39,48,41,15,26
215,29,29,120,48,33,18,21,18,30,31,30,60,30,30
216,37,22,80,40,15,7,18,16,22,34,26,66,36,30
217,27,30,126,47,39,15,25,23,33,32,36,57,28,29
218,22,30,187,79,46,30,32,22,32,24,37,40,20,20
219,21,30,133,50,35,23,25,20,31,30,40,42,19,23
220,23,28,90,30,24,14,22,21,34,34,27,48,27,21
221,28,30,120,48,33,18,21,18,30,36,30,60,30,30
222,22,20,120,48,33,18,21,13,24,29,30,59,29,30
223,17,28,158,60,43,24,31,18,28,27,38,45,21,24
224,31,18,103,44,25,13,21,18,32,30,27,47,26,21
225,25,26,133,58,32,14,29,20,27,30,27,44,28,16
226,22,21,104,47,20,13,24,18,25,23,30,47,25,22
227,17,23,116,46,27,14,29,22,25,26,33,51,26,25
228,16,27,141,53,37,22,29,18,23,28,34,42,23,19
229,16,21,123,48,33,18,24,19,26,25,30,59,29,30
230,12,29,121,55,26,16,24,23,33,25,49,46,17,29
231,28,20,128,52,34,18,24,18,30,36,30,58,27,31
232,26,19,123,51,34,13,25,20,29,27,33,41,22,19
233,25,25,90,40,18,12,20,17,24,27,30,53,29,24
234,26,22,110,45,26,18,21,19,29,30,26,54,30,24
235,29,20,162,64,44,24,30,14,21,23,39,71,31,40
236,32,21,110,55,24,9,22,15,22,25,28,63,31,32
237,27,21,120,48,33,18,21,17,31,26,27,56,31,25
238,28,19,102,49,25,8,20,16,28,32,30,60,30,30
239,19,28,114,49,28,13,24,19,25,25,30,44,23,21
240,17,29,114,48,28,15,23,22,23,24,46,49,20,29
241,11,33,158,66,36,24,32,23,32,35,41,67,32,35
242,28,30,131,64,30,12,25,21,33,24,39,48,24,24
243,25,27,148,60,35,20,33,22,25,22,31,37,21,16
244,31,23,111,45,24,15,27,20,30,27,35,56,28,28
245,17,38,143,61,32,16,34,24,26,27,37,57,29,28
246,27,29,154,65,33,23,33,21,27,26,38,46,25,21
247,16,30,161,64,38,26,33,20,28,22,40,45,20,25
248,25,24,170,65,43,27,35,18,29,29,33,55,30,25
249,28,20,120,48,33,18,21,15,25,25,24,57,31,26
250,28,20,120,48,33,18,21,12,20,24,30,60,30,30
251,24,29,133,62,30,17,24,19,24,27,31,50,25,25
252,28,29,150,64,39,18,29,17,28,23,36,57,27,30
253,25,26,122,54,29,16,23,17,23,27,26,60,34,26
254,27,20,118,51,27,14,26,17,26,31,26,68,34,34
255,28,27,142,52,39,21,30,18,30,28,27,52,28,24
256,24,23,92,37,13,14,28,24,21,24,22,49,33,16
257,30,23,116,42,28,15,31,23,30,32,38,62,29,33
258,28,30,120,48,33,18,21,18,30,36,30,60,30,30
259,17,30,152,66,37,19,30,19,28,29,29,48,29,19
260,28,30,120,48,33,17,22,18,30,36,40,64,28,36
261,25,30,128,53,34,20,21,18,34,32,30,60,30,30
262,18,31,181,75,47,27,32,24,32,22,43,35,17,18
263,28,30,89,37,25,13,14,16,26,34,24,53,31,22
264,24,30,153,65,38,18,32,18,28,27,34,53,26,27
265,25,30,140,58,30,21,31,21,32,32,38,51,26,25
266,20,27,117,41,32,15,29,20,29,25,28,54,30,24
267,32,29,104,50,20,13,21,19,29,33,36,63,30,33
268,25,26,122,48,33,17,24,17,26,26,30,58,31,27
269,28,20,120,48,33,18,21,12,20,24,30,60,30,30
270,24,27,155,64,37,23,31,20,29,29,33,56,28,28
271,28,20,122,48,33,19,22,12,20,24,30,54,28,26
272,31,23,131,53,34,18,26,18,27,28,30,55,29,26
273,23,29,90,35,20,17,18,18,27,23,38,56,30,26
274,23,21,109,43,26,18,22,21,32,30,30,60,30,30
275,20,30,121,48,33,18,22,18,30,36,30,60,30,30
276,28,20,111,40,32,18,21,18,28,33,28,62,31,31
277,6,31,114,54,15,20,25,22,33,28,50,46,18,28
278,29,20,122,49,28,20,25,18,27,29,32,52,26,26
279,28,20,120,48,33,18,21,12,20,24,30,60,30,30
280,22,27,154,68,34,18,34,20,24,22,43,41,22,19
281,28,20,47,19,11,6,11,13,14,27,30,60,30,30
282,18,28,115,54,27,9,25,24,36,31,30,46,25,21
283,21,28,108,48,24,16,20,20,28,27,30,60,30,30
284,26,30,125,48,33,18,26,18,29,33,30,60,30,30
285,16,30,128,50,35,18,25,23,31,30,38,49,24,25
286,39,14,47,17,11,7,12,11,19,21,10,74,50,24
287,28,29,152,64,38,21,29,20,30,29,37,47,24,23
288,28,20,120,48,33,18,21,12,20,24,30,60,30,30
289,24,23,131,53,35,18,25,21,30,29,20,70,40,30
290,26,30,160,64,44,24,28,20,32,37,30,58,29,29
291,28,23,102,43,17,11,31,20,29,28,31,58,33,25
292,18,28,130,46,40,18,26,24,31,25,42,31,15,16
293,29,31,88,25,26,16,21,15,19,28,18,56,36,20
294,26,25,136,61,26,15,34,23,33,25,42,50,24,26
295,13,33,119,59,20,15,25,23,35,31,39,45,20,25
296,28,40,160,60,40,28,32,24,32,23,37,42,19,23
297,20,25,118,41,32,19,26,20,29,23,35,58,26,32
298,28,30,120,48,33,18,21,18,29,36,30,60,30,30
299,29,20,120,48,33,18,21,12,17,26,20,50,30,20
300,24,25,147,61,39,18,29,20,29,21,31,68,34,34
301,19,28,122,52,26,17,27,21,29,24,39,46,22,24
302,33,21,112,42,33,13,24,18,23,31,31,60,32,28
303,20,27,136,51,38,17,30,18,28,24,30,49,25,24
304,28,20,120,48,33,18,21,18,30,36,29,60,30,30
305,31,20,101,40,25,12,24,17,26,32,11,54,35,19
306,29,40,200,80,55,30,35,21,30,25,38,54,28,26
307,19,23,97,47,18,7,25,21,26,23,36,46,26,20
308,13,30,144,60,37,18,29,24,31,26,45,28,15,13
309,29,30,160,64,44,24,28,17,27,32,34,47,21,26
310,23,27,80,26,17,14,23,22,23,21,22,52,29,23
311,16,27,132,53,33,19,27,22,34,24,39,46,22,24
312,16,31,120,48,33,18,21,18,30,36,30,60,30,30
313,37,22,166,70,42,23,31,18,17,28,34,41,23,18
314,11,34,146,61,32,21,32,24,28,21,44,37,18,19
315,31,21,118,46,33,18,21,18,29,35,30,60,30,30
316,16,38,157,75,37,15,30,24,34,28,47,38,17,21
317,22,32,120,48,33,18,21,23,36,28,30,59,29,30
318,27,32,138,55,30,24,29,17,23,32,45,39,20,19
319,24,20,120,48,33,18,21,12,20,24,30,60,30,30
320,25,23,140,57,34,21,28,19,27,30,32,56,30,26
321,28,21,134,53,36,15,30,21,29,25,14,62,36,26
322,35,23,109,48,24,14,23,18,19,26,28,53,35,18
323,19,21,125,50,31,17,27,17,23,18,36,32,17,15
324,27,24,69,33,14,8,14,18,24,27,28,52,32,20
325,30,30,121,48,34,18,21,18,30,36,33,60,28,32
326,29,30,132,48,38,16,30,19,28,35,30,60,29,31
327,28,20,120,48,33,18,21,18,30,36,30,60,30,30
328,28,20,114,48,29,13,24,19,29,35,30,60,30,30
329,30,20,109,45,24,15,25,14,20,30,30,60,30,30
330,28,30,158,64,42,24,28,18,30,36,40,70,30,40
331,37,20,102,45,21,14,22,18,24,28,20,69,41,28
332,16,34,171,76,36,25,34,22,32,25,47,37,16,21
333,27,20,113,45,27,18,23,15,23,25,30,52,28,24
334,15,39,162,71,42,19,30,23,33,23,42,43,22,21
335,17,28,139,62,32,17,28,18,29,25,37,41,22,19
336,21,27,111,49,25,14,23,19,28,25,26,44,25,19
337,28,20,120,48,33,18,21,17,30,33,30,60,30,30
338,17,29,122,48,33,18,23,20,26,22,34,49,24,25
339,7,30,165,70,42,21,32,24,33,32,38,48,24,24
340,24,20,123,48,32,18,25,18,28,25,30,49,26,23
341,28,30,120,48,33,18,21,18,30,36,30,60,30,30
342,17,30,87,34,17,12,24,21,27,26,29,55,29,26
343,30,17,104,46,25,13,20,16,30,30,23,54,29,25
344,22,30,160,64,44,24,28,18,30,36,36,54,24,30
345,16,23,136,52,34,18,32,23,31,22,33,39,20,19
346,17,26,127,61,23,17,26,20,26,25,37,41,25,16
